reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART68712726;Produit;Coffret parfum. MECCANICA Warm Bronze Br. Pvd.;672;EUR;;MAD;20;;;;;
ART68712707;Produit;Coffret parfum. MECCANICA Black Metal Br. Pvd.;672;EUR;;MAD;20;;;;;
ART11922726;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Warm Bronze Br. Pvd.;882;EUR;;MAD;20;;;;;
ART11922707;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Black Metal Br. Pvd.;882;EUR;;MAD;20;;;;;
ART11922708;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Copper Brushed Pvd.;882;EUR;;MAD;20;;;;;
ART11922710;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Brass Pvd.;826;EUR;;MAD;20;;;;;
ART11922720;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Nickel Pvd.;826;EUR;;MAD;20;;;;;
ART11922727;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Brass Brushed Pvd.;882;EUR;;MAD;20;;;;;
ART11922735;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Warm Bronze Pvd.;826;EUR;;MAD;20;;;;;
ART11922299;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Matte Black.;755;EUR;;MAD;20;;;;;
ART11922031;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Chrome.;559;EUR;;MAD;20;;;;;
ART11922149;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Finox Brushed Nickel.;755;EUR;;MAD;20;;;;;
ART11922030;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Copper Pvd.;826;EUR;;MAD;20;;;;;
ART11922706;Produit;Mitigeur lavabo réhaussé, sans vidage, avec flexibles de raccordement. Black Metal Pvd.;826;EUR;;MAD;20;;;;;
ART73509726;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Warm Bronze Br. Pvd.;332;EUR;;MAD;20;;;;;
ART73509030;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Copper Pvd.;311;EUR;;MAD;20;;;;;
ART73509299;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Matte Black.;284;EUR;;MAD;20;;;;;
ART73509031;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Chrome.;210;EUR;;MAD;20;;;;;
ART73509149;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Finox Brushed Nickel.;284;EUR;;MAD;20;;;;;
ART73509706;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Black Metal Pvd.;311;EUR;;MAD;20;;;;;
ART73509707;Produit;Partie apparente mitigeur lavabo mural une sortie. RIGATO. Black Metal Br. Pvd.;332;EUR;;MAD;20;;;;;
